CITY,CITY_code
Beckley,142
Bedford,143
Bedford Hill,144
Bedford Park,145
Beebe,146
Beeville,147
Bel Air,148
Belcourt,149
Belfry,150
Bellaire,151
Belleview,152
Belleville,153
Bellevue,154
Bellingham,155
Belmont,156
Beloit,157
Belton,158
Bemidji,159
Benbrook,160
Bend,161
Bennington,162
Benton Harbor,163
Bentonville,164
Berea,165
Berkeley,166
Berlin,167
Berrien Springs,168
Bessemer,169
Bethany,170
Bethel,171
Bethlehem,172
Bettendorf,173
Beverly,174
Beverly Hills,175
Biddeford,176
Big Rapids,177
Big Spring,178
Big Stone Gap,179
Billerica,180
Billings,181
Binghamton,182
Birmingham,183
Bismarck,184
Blackfoot,185
Blacksburg,186
Blackwood,187
Blaine,188
Bloomfield,189
Bloomfield Hills,190
Bloomingdale,191
Bloomington,192
Bloomsburg,193
Blountville,194
Blue Ash,195
Blue Bell,196
Blue Island,197
Blue Lake,198
Blue Mountain,199
Blue Springs,200
Bluefield,201
Bluffton,202
Blythe,203
Blytheville,204
Boardman,205
Boaz,206
Boca Raton,207
Bohemia,208
Boiling Springs,209
Boise,210
Bolivar,211
Bolivia,212
Bonita Springs,213
Boone,214
Booneville,215
Bordentown,216
Borger,217
Bossier City,218
Boston,219
Bothell,220
Bottineau,221
Boulder,222
Bourbonnais,223
Bourne,224
Bowie,225
Bowling Green,226
Box Elder,227
Boynton Beach,228
Bozeman,229
Bradenton,230
Bradford,231
Brainerd,232
Branchburg,233
Branford,234
Brattleboro,235
Brecksville,236
Bremerton,237
Brenham,238
Brentwood,239
Brevard,240
Brick,241
Bridgeport,242
Bridgeton,243
Bridgeview,244
Bridgewater,245
Bridgton,246
Brighton,247
Brimley,248
Bristol,249
Brockport,250
Brockton,251
Broken Arrow,252
Broken Bow,253
Bronx,254
Bronxville,255
Brookfield,256
Brookings,257
Brookline,258
Brooklyn,259
Brooklyn Heights,260
Brooklyn Park,261
Brooksville,262
Brookville,263
Broomall,264
Broomfield,265
Browning,266
Brownsburg,267
Brownsville,268
Brownwood,269
Brunswick,270
Bryan,271
Bryn Athyn,272
Bryn Mawr,273
Buckhannon,274
Buena Vista,275
Buffalo,276
Buies Creek,277
Burbank,278
Burley,279
Burlington,280
Burns Flat,281
Burton,282
Butler,283
Butte,284
Buzzards Bay,285
CANAL WINCHESTER,286
CHESTER,287
CLIFTON,288
Cadillac,289
Caguas,290
Calais,291
Caldwell,292
Calexico,293
California,294
Calmar,295
Calumet City,296
Camarillo,297
Cambridge,298
Camden,299
Camdenton,300
Campbell,301
Campbellsville,302
Canal Winchester,303
Canandaigua,304
Canfield,305
Canoga Park,306
Canonsburg,307
Canton,308
Canyon,309
Cape Coral,310
Cape Girardeau,311
Capitol Heights,312
Carbondale,313
Cardiff,314
Carlinville,315
Carlisle,316
Carlsbad,317
Carneys Point,318
Carolina,319
Carpinteria,320
Carrollton,321
Carson,322
Carson City,323
Carterville,324
Carthage,325
Cary,326
Casa Grande,327
Casper,328
Cass Lake,329
Casselberry,330
Castine,331
Castleton,332
Cathedral City,333
Cayey,334
Cazenovia,335
Cedar Bluff,336
Cedar City,337
Cedar Falls,338
Cedar Hill,339
Cedar Park,340
Cedar Rapids,341
Cedarville,342
Celina,343
Centennial,344
Center City,345
Center Valley,346
Centerville,347
Central,348
Centralia,349
Centreville,350
Cerritos,351
Chadron,352
Chalmette,353
